state,state_full,city,lat,lng,central,unit
PI,Piauí,PARNAÍBA,-2.9046,-41.7754,3,ed6106f0
PI,Piauí,PARNAÍBA,-2.9050,-41.7760,9,8c437938
PI,Piauí,LUÍS CORREA,-2.8765,-41.6654,8,43e0e83d
MA,Maranhão,BALSAS,-7.5331351,-46.0364165,8,611df50f
PI,Piauí,PARNAÍBA,-2.9179082,-41.7375484,8,9c5d1b29
BA,Bahia,CASA NOVA,-9.1644,-40.9722,8,ca508451
PI,Piauí,COCAL,-3.4728,-41.5546,8,efaf3bc8
MA,Maranhão,DUQUE BACELAR,-4.1519,-42.9472,8,f0cd25fb
MA,Maranhão,FORTALEZA DOS NOGUEIRAS,-6.9639,-46.1747,8,3b6ccd02
PI,Piauí,PICOS,-7.0875021,-41.4788246,8,370d8cdb
MA,Maranhão,TIMON,-5.0882609,-42.8353204,8,400af2ca
MA,Maranhão,TUNTUM,-5.2547,-44.6489,8,5a78a8fa
MA,Maranhão,SÃO BERNARDO,-3.3619,-42.4178,8,0fc1b994
MA,Maranhão,TRIZIDELA DO VALE,-4.5383,-44.6283,8,f0006d0a
MA,Maranhão,TIMON,-5.0882609,-42.8353204,8,675c1850
MA,Maranhão,TUNTUM,-5.2606389,-44.6427294,8,a07a4353
MA,Maranhão,ALTO ALEGRE DO PINDARÉ,-3.6667,-45.8417,8,eefa1931
MA,Maranhão,SÃO RAIMUNDO DAS MANGABEIRAS,-7.0250985,-45.4791671,8,2765ab0c
MA,Maranhão,TIMON,-5.0936,-42.8369,8,eed3b52f
MA,Maranhão,IGARAPÉ GRANDE,-4.6625,-44.8558,8,2d9cb964
MA,Maranhão,BARRA DO CORDA,-5.4979536,-45.2566138,8,8b54a35b
PI,Piauí,TERESINA,-5.0911449,-42.8104583,8,2fb17c77
PI,Piauí,RIO GRANDE DO PIAUÍ,-5.2647,-43.1486,8,f94c130f
PI,Piauí,PIRIPIRI,-4.2736,-41.7769,8,92ec1546
PI,Piauí,URUÇUÍ,-7.2376869,-44.5548649,8,bd4e9f0f
MA,Maranhão,BONS PASTOS,-6.620945,-44.1147245,8,b1cda1ea
PI,Piauí,URUÇUÍ,-7.2294,-44.5558,8,d509cea3
RS,Rio Grande do Sul,PORTO ALEGRE,-30.0346,-51.2177 ,8,7dda7d8b
RS,Rio Grande do Sul,PORTO ALEGRE,-30.0346,-51.2177 ,8,2e09948b
RS,Rio Grande do Sul,PORTO ALEGRE,-30.0346,-51.2177 ,8,3f0379ff
PI,Piauí,TERESINA,-5.0883941,-42.8027872,8,07513aa0
MA,Maranhão,TIMON,-5.0936,-42.8369,18,64f7d531
RO,Rondônia,RONDONIA,-10.8842929,-61.9485739,22,ef85450e
RO,Rondônia,RONDONIA,-10.8720239,-61.9451175,22,393769ba
PI,Piauí,PARNAÍBA,-2.9046,-41.7754,14,349426cc
PI,Piauí,PARNAÍBA,-2.9279377,-41.7488441,14,d012a67f
PI,Piauí,TERESINA,-5.095184,-42.786991,14,a764aa20
PI,Piauí,AMARANTE,-6.243191,-42.854401,14,09a0b283
PI,Piauí,CORRENTE,-10.4443812,-45.1573392,14,ba946299
PI,Piauí,ESPERANTINA,-3.9025,-42.8097,14,3b1c6a82
PI,Piauí,LUZILÂNDIA,-3.4558,-42.3708,14,848261aa
PI,Piauí,SIMPLÍCIO MENDES,-7.8539,-41.9089,14,3bf0ac57
PI,Piauí,SÃO MIGUEL DE TAPUIO,-5.5002596,-41.3225231,14,9fa0bdaa
PI,Piauí,ELESBÃO VELOSO,-6.2019,-42.1358,14,b72086f4
PI,Piauí,SÃO JOÃO DO PIAUÍ,-8.360975,-42.2468441,14,ec518a57
PI,Piauí,TERESINA,-5.0881517,-42.8041946,14,d3f59a1b
PI,Piauí,TERESINA,-5.089202,-42.8035338,14,daf3d8a6
PI,Piauí,DERMERVAL LOBÃO,-5.3589,-42.6758,14,40076a5b
PI,Piauí,PARNAÍBA,-2.9132174,-41.7759075,14,b52b1bd5
PI,Piauí,PIRIPIRI,-4.2736,-41.7769,14,2c59c90b
PI,Piauí,VALENÇA DO PIAUÍ,-6.4002665,-41.7373677,14,4269c7d4
PI,Piauí,CORRENTE,-10.4443812,-45.1573392,14,2a03f64e
PI,Piauí,PICOS,-7.0775,-41.4669,14,0b506167
PI,Piauí,BARRAS,-4.2447,-42.2939,14,3b2c0e36
PI,Piauí,BOM JESUS,-9.0569547,-44.3731542,14,d25715fc
PI,Piauí,URUÇUÍ,-7.2890433,-44.4977148,14,842e795d
PI,Piauí,SÃO RAIMUNDO NONATO,-9.0139,-42.6989,14,a2417cb3
PI,Piauí,FLORIANO,-6.772467,-43.028963,14,a86c6022
PI,Piauí,TERESINA,-5.0936,-42.8036 ,14,c52bb8d8
PI,Piauí,TERESINA,-5.0952278,-42.7890668,14,0ee43bca
PI,Piauí,TERESINA,-5.0936,-42.8036 ,14,c922bf56
PI,Piauí,PICOS,-7.0775,-41.4669,14,f7dfb382
PI,Piauí,FLORIANO,-6.7615223,-43.0086308,14,ae1f687b
PI,Piauí,SÃO RAIMUNDO NONATO,-8.9846077,-42.7013533,14,29742e4d
PI,Piauí,OEIRAS,-7.014592,-42.1252456,14,46907525
PA,Pará,BELÉM,-1.4347189,-48.454345,12,4bf66788
PA,Pará,BELÉM,-1.4397698,-48.4809648,12,5d763267
PA,Pará,BELÉM,-1.4612,-48.4897,12,a20b4387
PA,Pará,BELÉM,-1.4681214,-48.4674998,12,66051496
PA,Pará,BELÉM,-1.3785,-48.4619,12,01c85c35
PA,Pará,BELÉM,-1.3033912,-48.4873605,12,e2c14c27
PA,Pará,BELÉM,-1.3529804,-48.466469,12,b7399892
PA,Pará,BELÉM,-1.3460415,-48.4693515,12,9682cf1b
PA,Pará,BELÉM,-1.4159917,-48.4664566,12,00e17021
PA,Pará,BELÉM,-1.4470749,-48.4782216,12,163d94d8
PA,Pará,BELÉM,-1.44051,-48.48175,12,734ab4d1
MA,Maranhão,SÃO LUÍS,-2.533391,-44.296371,20,3a42991a
PI,Piauí,TERESINA,-5.0824,-42.7893 ,17,b27a20c3
PI,Piauí,TERESINA,-5.0850315,-42.8087215,17,a92f06ac
PI,Piauí,TERESINA,-5.0719,-42.7685 ,17,01a36dad
PI,Piauí,TERESINA,-5.1182234,-42.7920702,17,7b088d5c
PI,Piauí,TERESINA,-5.1037137,-42.7959141,17,d60a4998
PI,Piauí,TERESINA,-5.0652,-42.7814,17,8793a450
PI,Piauí,TERESINA, -5.0496763,-42.759838,17,acd71246
PI,Piauí,TERESINA,-5.0638,-42.7937,17,899de336
PI,Piauí,TERESINA,-5.0573,-42.8021,17,ebd0d9aa
PI,Piauí,TERESINA,-5.1468362,-42.777991,17,50bbd94a
PI,Piauí,TERESINA,-5.1063746,-42.755701,17,f6b195cc
PI,Piauí,TERESINA,-5.0548057,-42.7553939,17,b1b2b821
PI,Piauí,TERESINA,-5.1471264,-42.7821689,17,82d4e30b
PI,Piauí,TERESINA,-5.0894,-42.7756,17,9ed80061
AP,Amapá,MACAPÁ,0.0413918,-51.0680501,6,708da50f
AP,Amapá,MACAPÁ,0.0413918,-51.0680501,6,bbcecec0
AP,Amapá,MACAPÁ,0.0386,-51.0663,6,d4ea3eae
AP,Amapá,MACAPÁ,0.0213447,-51.0653008,6,dc5085b4
AP,Amapá,OIAPOQUE,3.8408,-51.8349 ,6,c4842218
AP,Amapá,SANTANA,-0.043515,-51.1727318,6,6f8031bb
AP,Amapá,SERRA DO NAVIO,0.9017,-52.0030,6,ad84f8eb
AP,Amapá,CALÇOENE,2.4996142,-50.9587544,6,3876e2ae
AP,Amapá,TARTARUAGALZINHO,1.5069,-50.9158 ,6,635e57e9
AP,Amapá,LARANJAL DO JARI,-0.8406,-52.5158,6,d810a488
AP,Amapá,SERRA DO NAVIO,0.9017,-52.0030 ,6,a4487026
AP,Amapá,MACAPÁ,0.0969889,-51.051234,6,1940b0db
AP,Amapá,SERRA DO NAVIO,0.9017,-52.0030 ,6,ba5581e3
PI,Piauí,PARNAÍBA,-2.9041903,-41.7748337,26,9747f3cb
TO,Tocantins,ARAGUAÍNA,-7.1914, -48.2075,27,8ee94ab6
TO,Tocantins,ARAGUAÍNA,-7.1914,-48.2075,27,cb02d8a0
MA,Maranhão,LAGO DA PEDRA,-4.5677481,-45.1274233,19,7979ab16
MT,Mato Grosso,PRIMAVERA DO LESTE,-14.5619,-54.2969 ,23,b55c7b26
MT,Mato Grosso,PARANATINGA,-14.4269,-54.0519,23,598f319f
PI,Piauí,CAMPO MAIOR,-4.8275,-42.1689,10,2c688f00
PA,Pará,CAMETÁ,-2.2439,-49.4958 ,15,3db6fea4
PA,Pará,CAMETÁ,-2.2446829,-49.4982743,15,88c85142